Timestamp [us],RTC Count,Notes,State To Process,Next State
1678380703090735,-1,,DEPLOY,DEPLOY
1678380704090818,-1,,DEPLOY,DEPLOY
1678380705090901,-1,,DEPLOY,DEPLOY
1678380706090990,-1,,DEPLOY,DEPLOY
1678380707091056,-1,,DEPLOY,DEPLOY
1678380708091121,-1,,DEPLOY,DEPLOY
1678380709091172,-1,,DEPLOY,DEPLOY
1678380710091239,-1,,DEPLOY,DEPLOY
1678380711091307,-1,,DEPLOY,DEPLOY
1678380712091389,-1,,DEPLOY,DEPLOY
1678380713091472,-1,,DEPLOY,DEPLOY
1678380714091556,-1,,DEPLOY,DEPLOY
1678380715091640,-1,,DEPLOY,DEPLOY
1678380716091736,-1,,DEPLOY,DEPLOY
1678380717091804,-1,,DEPLOY,DEPLOY
1678380718091870,-1,,DEPLOY,DEPLOY
1678380719091944,-1,,DEPLOY,DEPLOY
1678380720092024,-1,,DEPLOY,DEPLOY
1678380721092141,-1,,DEPLOY,DEPLOY
1678380722092207,-1,,DEPLOY,DEPLOY
1678380723092271,-1,,DEPLOY,DEPLOY
1678380724092338,-1,,DEPLOY,DEPLOY
1678380725092405,-1,,DEPLOY,DEPLOY
1678380726092479,-1,,DEPLOY,DEPLOY
1678380727092555,-1,,DEPLOY,DEPLOY
1678380728092636,-1,,DEPLOY,DEPLOY
1678380729092724,-1,,DEPLOY,DEPLOY
1678380730092793,-1,,DEPLOY,DEPLOY
1678380731092866,-1,,DEPLOY,DEPLOY
1678380732092931,-1,,DEPLOY,DEPLOY
1678380733092997,-1,,DEPLOY,DEPLOY
1678380734093062,-1,,DEPLOY,DEPLOY
1678380735093143,-1,,DEPLOY,DEPLOY
1678380736093232,-1,,DEPLOY,DEPLOY
1678380737093298,-1,,DEPLOY,DEPLOY
1678380738093364,-1,,DEPLOY,DEPLOY
1678380739093429,-1,,DEPLOY,DEPLOY
1678380740093494,-1,,DEPLOY,DEPLOY
1678380741093619,-1,,DEPLOY,DEPLOY
1678380742093698,-1,,DEPLOY,DEPLOY
1678380743093781,-1,,DEPLOY,DEPLOY
1678380744093847,-1,,DEPLOY,DEPLOY
1678380745093912,-1,,DEPLOY,DEPLOY
1678380746093979,-1,,DEPLOY,DEPLOY
1678380747094045,-1,,DEPLOY,DEPLOY
1678380748094111,-1,,DEPLOY,DEPLOY
1678380749094189,-1,,DEPLOY,DEPLOY
1678380750094233,-1,,DEPLOY,DEPLOY
1678380751094315,-1,,DEPLOY,DEPLOY
1678380752094382,-1,,DEPLOY,DEPLOY
1678380753094448,-1,,DEPLOY,DEPLOY
1678380754094529,-1,,DEPLOY,DEPLOY
1678380755094594,-1,,DEPLOY,DEPLOY
1678380756094667,-1,,DEPLOY,DEPLOY
1678380757094744,-1,,DEPLOY,DEPLOY
1678380758094835,-1,,DEPLOY,DEPLOY
1678380759095054,-1,,DEPLOY,DEPLOY
1678380760095131,-1,,DEPLOY,DEPLOY
1678380761095307,-1,,DEPLOY,DEPLOY
1678380762095372,-1,,DEPLOY,DEPLOY
1678380763095438,-1,,DEPLOY,DEPLOY
1678380764095503,-1,,DEPLOY,DEPLOY
1678380765095568,-1,,DEPLOY,DEPLOY
1678380766095661,-1,,DEPLOY,DEPLOY
1678380767095727,-1,,DEPLOY,DEPLOY
1678380768095792,-1,,DEPLOY,DEPLOY
1678380769095858,-1,,DEPLOY,DEPLOY
1678380770095922,-1,,DEPLOY,DEPLOY
1678380771095994,-1,,DEPLOY,DEPLOY
1678380772096061,-1,,DEPLOY,DEPLOY
1678380773096127,-1,,DEPLOY,DEPLOY
1678380774096192,-1,,DEPLOY,DEPLOY
1678380775096302,-1,,DEPLOY,DEPLOY
1678380776096372,-1,,DEPLOY,DEPLOY
1678380777096438,-1,,DEPLOY,DEPLOY
1678380778096505,-1,,DEPLOY,DEPLOY
1678380779096572,-1,,DEPLOY,DEPLOY
1678398258798502,-1,Restarted! | ,CONFIG,START
1678398259798568,-1,,START,DEPLOY
1678398260798634,-1,,DEPLOY,DEPLOY
1678398261798700,-1,,DEPLOY,DEPLOY
1678398262798766,-1,,DEPLOY,DEPLOY
1678398263798843,-1,,DEPLOY,DEPLOY
1678398264799020,-1,,DEPLOY,DEPLOY
1678398265799085,-1,,DEPLOY,DEPLOY
1678398266799151,-1,,DEPLOY,DEPLOY
1678398267799216,-1,,DEPLOY,DEPLOY
1678398268799311,-1,,DEPLOY,DEPLOY
1678398269799393,-1,,DEPLOY,DEPLOY
1678398270799460,-1,,DEPLOY,DEPLOY
1678398271799525,-1,,DEPLOY,DEPLOY
1678398272799592,-1,,DEPLOY,DEPLOY
1678398273799656,-1,,DEPLOY,DEPLOY
1678398274799721,-1,,DEPLOY,DEPLOY
1678398275799795,-1,,DEPLOY,DEPLOY
1678398276799881,-1,,DEPLOY,DEPLOY
1678398277799964,-1,,DEPLOY,DEPLOY
1678398278800042,-1,,DEPLOY,DEPLOY
1678398279800109,-1,,DEPLOY,DEPLOY
1678398352239919,-1,Restarted! | ,CONFIG,START
1678398353240005,-1,,START,DEPLOY
1678398354240092,-1,,DEPLOY,DEPLOY
1678398355240513,-1,,DEPLOY,DEPLOY
1678398356240582,-1,,DEPLOY,DEPLOY
1678398357240652,-1,,DEPLOY,DEPLOY
1678398358240727,-1,,DEPLOY,DEPLOY
1678398359240795,-1,,DEPLOY,DEPLOY
1678398360240871,-1,,DEPLOY,DEPLOY
1678398361240963,-1,,DEPLOY,DEPLOY
1678398362241099,-1,,DEPLOY,DEPLOY
1678398363241389,-1,,DEPLOY,DEPLOY
1678398364241422,-1,,DEPLOY,DEPLOY
1678398365241584,-1,,DEPLOY,DEPLOY
1678398366241718,-1,,DEPLOY,DEPLOY
1678398367242200,-1,,DEPLOY,DEPLOY
1678398368242261,-1,,DEPLOY,DEPLOY
1678398369242328,-1,,DEPLOY,DEPLOY
1678398370242401,-1,,DEPLOY,DEPLOY
1678398371242479,-1,,DEPLOY,DEPLOY
1678398453976473,-1,Restarted! | ,CONFIG,START
1678398454976546,-1,,START,DEPLOY
1678398455976640,-1,,DEPLOY,DEPLOY
1678398456976712,-1,,DEPLOY,DEPLOY
1678398457976808,-1,,DEPLOY,DEPLOY
